track_name,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Raining Blood,Slayer,1IQ2e1buppatiN1bxUVkrk,0.227,0.995,10,-4.361,0,0.173,0.000405,0.393,0.127,0.0363,87.499,audio_features,4fiOTntQKr24p07FvQDHZE,spotify:track:4fiOTntQKr24p07FvQDHZE,https://api.spotify.com/v1/tracks/4fiOTntQKr24p07FvQDHZE,https://api.spotify.com/v1/audio-analysis/4fiOTntQKr24p07FvQDHZE,255187,4
Paranoid,Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,0.429,0.631,4,-11.514,0,0.0769,7.85e-05,0.00411,0.175,0.376,162.734,audio_features,1jzDzZWeSDBg5fhNc3tczV,spotify:track:1jzDzZWeSDBg5fhNc3tczV,https://api.spotify.com/v1/tracks/1jzDzZWeSDBg5fhNc3tczV,https://api.spotify.com/v1/audio-analysis/1jzDzZWeSDBg5fhNc3tczV,168440,4
Master Of Puppets,Metallica,2ye2Wgw4gimLv2eAKyk1NB,0.543,0.836,4,-9.11,0,0.0353,0.000647,0.431,0.153,0.56,105.173,audio_features,2MuWTIM3b0YEAskbeeFE1i,spotify:track:2MuWTIM3b0YEAskbeeFE1i,https://api.spotify.com/v1/tracks/2MuWTIM3b0YEAskbeeFE1i,https://api.spotify.com/v1/audio-analysis/2MuWTIM3b0YEAskbeeFE1i,515387,4
The Trooper - 2015 Remaster,Iron Maiden,6mdiAmATAx73kdxrNrnlao,0.285,0.908,4,-4.601,0,0.0705,0.0318,0.00909,0.311,0.669,159.756,audio_features,4OROzZUy6gOWN4UGQVaZMF,spotify:track:4OROzZUy6gOWN4UGQVaZMF,https://api.spotify.com/v1/tracks/4OROzZUy6gOWN4UGQVaZMF,https://api.spotify.com/v1/audio-analysis/4OROzZUy6gOWN4UGQVaZMF,252733,4
Symphony Of Destruction,Megadeth,1Yox196W7bzVNZI7RBaPnf,0.61,0.889,4,-5.452,0,0.0585,0.000794,0.0865,0.0657,0.506,139.903,audio_features,51TG9W3y9qyO8BY5RXKgnZ,spotify:track:51TG9W3y9qyO8BY5RXKgnZ,https://api.spotify.com/v1/tracks/51TG9W3y9qyO8BY5RXKgnZ,https://api.spotify.com/v1/audio-analysis/51TG9W3y9qyO8BY5RXKgnZ,246733,4
Walk,Pantera,14pVkFUHDL207LzLHtSA18,0.43,0.704,1,-8.008,0,0.0804,0.000155,0.00221,0.0933,0.703,118.242,audio_features,7fcfNW0XxTWlwVlftzfDOR,spotify:track:7fcfNW0XxTWlwVlftzfDOR,https://api.spotify.com/v1/tracks/7fcfNW0XxTWlwVlftzfDOR,https://api.spotify.com/v1/audio-analysis/7fcfNW0XxTWlwVlftzfDOR,315120,4
Kickstart My Heart,Mötley Crüe,0cc6vw3VN8YlIcvr1v7tBL,0.465,0.977,7,-3.839,0,0.175,0.00111,0.00298,0.201,0.233,89.535,audio_features,6imjJij6aCM0IbbODUzJQn,spotify:track:6imjJij6aCM0IbbODUzJQn,https://api.spotify.com/v1/tracks/6imjJij6aCM0IbbODUzJQn,https://api.spotify.com/v1/audio-analysis/6imjJij6aCM0IbbODUzJQn,284027,4
Chop Suey!,System Of A Down,5eAWCfyUhZtHHtBdNk56l1,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,audio_features,2DlHlPMa4M17kufBvI2lEN,spotify:track:2DlHlPMa4M17kufBvI2lEN,https://api.spotify.com/v1/tracks/2DlHlPMa4M17kufBvI2lEN,https://api.spotify.com/v1/audio-analysis/2DlHlPMa4M17kufBvI2lEN,210240,4
Down with the Sickness,Disturbed,3TOqt5oJwL9BE2NG9MEwDa,0.649,0.896,10,-2.704,0,0.056,0.000319,1.19e-05,0.102,0.924,90.009,audio_features,4ImIJRZNJhNQLLdUFSYJoS,spotify:track:4ImIJRZNJhNQLLdUFSYJoS,https://api.spotify.com/v1/tracks/4ImIJRZNJhNQLLdUFSYJoS,https://api.spotify.com/v1/audio-analysis/4ImIJRZNJhNQLLdUFSYJoS,278707,4
Ace of Spades,Motörhead,1DFr97A9HnbV3SKTJFu62M,0.321,0.99,6,-4.461,1,0.204,0.00248,0.00631,0.0924,0.209,140.574,audio_features,3AVZaAbDvR6rs2NN4n0aAF,spotify:track:3AVZaAbDvR6rs2NN4n0aAF,https://api.spotify.com/v1/tracks/3AVZaAbDvR6rs2NN4n0aAF,https://api.spotify.com/v1/audio-analysis/3AVZaAbDvR6rs2NN4n0aAF,166707,4
Blind,Korn,3RNrq3jvMZxD9ZyoOZbQOD,0.283,0.891,2,-8.165,1,0.178,0.00678,0.0038,0.159,0.226,92.049,audio_features,1pr9TZGOXeJUggIal1Wq3R,spotify:track:1pr9TZGOXeJUggIal1Wq3R,https://api.spotify.com/v1/tracks/1pr9TZGOXeJUggIal1Wq3R,https://api.spotify.com/v1/audio-analysis/1pr9TZGOXeJUggIal1Wq3R,258267,4
One,Metallica,2ye2Wgw4gimLv2eAKyk1NB,0.437,0.695,7,-9.447,1,0.0617,0.00111,0.0857,0.124,0.413,102.178,audio_features,5IX4TbIR5mMHGE4wiWwKW0,spotify:track:5IX4TbIR5mMHGE4wiWwKW0,https://api.spotify.com/v1/tracks/5IX4TbIR5mMHGE4wiWwKW0,https://api.spotify.com/v1/audio-analysis/5IX4TbIR5mMHGE4wiWwKW0,447440,3
Iron Man - 2012 - Remaster,Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,0.336,0.792,9,-10.875,1,0.084,0.00351,0.00175,0.0437,0.427,155.587,audio_features,3IOQZRcEkplCXg6LofKqE9,spotify:track:3IOQZRcEkplCXg6LofKqE9,https://api.spotify.com/v1/tracks/3IOQZRcEkplCXg6LofKqE9,https://api.spotify.com/v1/audio-analysis/3IOQZRcEkplCXg6LofKqE9,355304,4
Mother,Danzig,34c4iQ5tkaZKu6Sv28BTde,0.365,0.763,11,-9.45,0,0.0591,0.00726,0.000457,0.0865,0.342,148.366,audio_features,7txxAtOMwLLnQTpKeBL6bp,spotify:track:7txxAtOMwLLnQTpKeBL6bp,https://api.spotify.com/v1/tracks/7txxAtOMwLLnQTpKeBL6bp,https://api.spotify.com/v1/audio-analysis/7txxAtOMwLLnQTpKeBL6bp,204867,4
Cowboys from Hell,Pantera,14pVkFUHDL207LzLHtSA18,0.415,0.908,2,-9.701,1,0.0765,0.00437,0.0345,0.082,0.437,114.816,audio_features,2SgbR6ttzoNlCRGQOKjrop,spotify:track:2SgbR6ttzoNlCRGQOKjrop,https://api.spotify.com/v1/tracks/2SgbR6ttzoNlCRGQOKjrop,https://api.spotify.com/v1/audio-analysis/2SgbR6ttzoNlCRGQOKjrop,243533,4
Duality,Slipknot,05fG473iIaoy82BF1aGhL8,0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,audio_features,61mWefnWQOLf90gepjOCb3,spotify:track:61mWefnWQOLf90gepjOCb3,https://api.spotify.com/v1/tracks/61mWefnWQOLf90gepjOCb3,https://api.spotify.com/v1/audio-analysis/61mWefnWQOLf90gepjOCb3,252613,4
Hellraiser - 30th Anniversary Edition,Ozzy Osbourne,6ZLTlhejhndI4Rh53vYhrY,0.624,0.934,4,-3.229,1,0.0436,0.00232,2.67e-05,0.106,0.411,96.038,audio_features,7iD5t0YgWvIIrvZtw6IIxQ,spotify:track:7iD5t0YgWvIIrvZtw6IIxQ,https://api.spotify.com/v1/tracks/7iD5t0YgWvIIrvZtw6IIxQ,https://api.spotify.com/v1/audio-analysis/7iD5t0YgWvIIrvZtw6IIxQ,295881,4
Breaking the Law,Judas Priest,2tRsMl4eGxwoNabM08Dm4I,0.362,0.961,2,-5.664,1,0.0857,0.024,9.35e-06,0.159,0.491,164.019,audio_features,2RaA6kIcvomt77qlIgGhCT,spotify:track:2RaA6kIcvomt77qlIgGhCT,https://api.spotify.com/v1/tracks/2RaA6kIcvomt77qlIgGhCT,https://api.spotify.com/v1/audio-analysis/2RaA6kIcvomt77qlIgGhCT,153840,4
Enter Sandman,Metallica,2ye2Wgw4gimLv2eAKyk1NB,0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,audio_features,5sICkBXVmaCQk5aISGR3x1,spotify:track:5sICkBXVmaCQk5aISGR3x1,https://api.spotify.com/v1/tracks/5sICkBXVmaCQk5aISGR3x1,https://api.spotify.com/v1/audio-analysis/5sICkBXVmaCQk5aISGR3x1,331267,4
Hail to the King,Avenged Sevenfold,0nmQIMXWTXfhgOBdNzhGOs,0.58,0.916,3,-4.358,0,0.0387,0.000297,0.0259,0.126,0.683,118.004,audio_features,5anCkDvJ17aznvK5TED5uo,spotify:track:5anCkDvJ17aznvK5TED5uo,https://api.spotify.com/v1/tracks/5anCkDvJ17aznvK5TED5uo,https://api.spotify.com/v1/audio-analysis/5anCkDvJ17aznvK5TED5uo,305907,4
Run to the Hills - 1998 Remastered Version,Iron Maiden,6mdiAmATAx73kdxrNrnlao,0.221,0.956,0,-4.641,1,0.0876,0.0103,0.000523,0.195,0.432,173.254,audio_features,2JS1iE5A5RHvUPH5Zl9jlF,spotify:track:2JS1iE5A5RHvUPH5Zl9jlF,https://api.spotify.com/v1/tracks/2JS1iE5A5RHvUPH5Zl9jlF,https://api.spotify.com/v1/audio-analysis/2JS1iE5A5RHvUPH5Zl9jlF,233960,4
Crazy Train,Ozzy Osbourne,6ZLTlhejhndI4Rh53vYhrY,0.453,0.905,9,-4.001,1,0.115,0.36,0.000569,0.26,0.474,137.571,audio_features,2b9lp5A6CqSzwOrBfAFhof,spotify:track:2b9lp5A6CqSzwOrBfAFhof,https://api.spotify.com/v1/tracks/2b9lp5A6CqSzwOrBfAFhof,https://api.spotify.com/v1/audio-analysis/2b9lp5A6CqSzwOrBfAFhof,296200,4
Holy Wars...The Punishment Due - 2004 Remix,Megadeth,1Yox196W7bzVNZI7RBaPnf,0.325,0.985,11,-3.941,1,0.151,0.00177,0.107,0.351,0.221,125.307,audio_features,5LyRtsQLhcXmy50VXhQXXS,spotify:track:5LyRtsQLhcXmy50VXhQXXS,https://api.spotify.com/v1/tracks/5LyRtsQLhcXmy50VXhQXXS,https://api.spotify.com/v1/audio-analysis/5LyRtsQLhcXmy50VXhQXXS,392600,4
