,artist_id,artist_name,track_name,track_popularity,track_uri,track_number
0,28hJdGN1Awf7u3ifk2lVkg,Testament,For the Glory of...,68,spotify:track:6J4VOoKhRZFNeWkVH0WTzH,1
1,28hJdGN1Awf7u3ifk2lVkg,Testament,Down for Life,58,spotify:track:3pKsUMqpVr4ZJ13Mm91Xig,2
2,28hJdGN1Awf7u3ifk2lVkg,Testament,Brotherhood of the Snake,53,spotify:track:4VcN84ZdC7doe4yoIarJUA,3
3,28hJdGN1Awf7u3ifk2lVkg,Testament,More Than Meets the Eye,51,spotify:track:4pwKVmEsLZAIFW05f88ZT4,4
4,28hJdGN1Awf7u3ifk2lVkg,Testament,Return to Serenity,50,spotify:track:5awljpWNO5TpXCyjpvCBbs,5
5,14pVkFUHDL207LzLHtSA18,Pantera,Walk,73,spotify:track:7fcfNW0XxTWlwVlftzfDOR,1
6,14pVkFUHDL207LzLHtSA18,Pantera,Cowboys from Hell,71,spotify:track:2SgbR6ttzoNlCRGQOKjrop,2
7,14pVkFUHDL207LzLHtSA18,Pantera,Cemetery Gates,65,spotify:track:4vJr55lngvhSM8WIh9CjQc,3
8,14pVkFUHDL207LzLHtSA18,Pantera,I'm Broken,64,spotify:track:2M5WTwqnkyz7bW6P1CiD6q,4
9,14pVkFUHDL207LzLHtSA18,Pantera,This Love,64,spotify:track:0Yfpc5zHc9pElVCQ1bPlF4,5
10,1Yox196W7bzVNZI7RBaPnf,Megadeth,Symphony Of Destruction - Remastered 2012,67,spotify:track:5mR858YsHYG761aUqZoGkD,1
11,1Yox196W7bzVNZI7RBaPnf,Megadeth,Holy Wars...The Punishment Due - 2004 Remix,65,spotify:track:5LyRtsQLhcXmy50VXhQXXS,2
12,1Yox196W7bzVNZI7RBaPnf,Megadeth,A Tout Le Monde - Remastered 2004,63,spotify:track:6olS0TmHmsGr0hXtcBsiVM,3
13,1Yox196W7bzVNZI7RBaPnf,Megadeth,Tornado Of Souls - 2004 Remix,62,spotify:track:4E5xVW505akJX0wcKj8Mpd,4
14,1Yox196W7bzVNZI7RBaPnf,Megadeth,Angry Again,60,spotify:track:3CI1JP2ooMBSFjIy1u6Yrc,5
15,6JW8wliOEwaDZ231ZY7cf4,Sepultura,Roots Bloody Roots,63,spotify:track:6ursmCnbc9oDRGa2yHKkoZ,1
16,6JW8wliOEwaDZ231ZY7cf4,Sepultura,Refuse / Resist,58,spotify:track:2OoS1aZFAFscH1cUiKlazH,2
17,6JW8wliOEwaDZ231ZY7cf4,Sepultura,Territory,56,spotify:track:0QRxtcxL31dRAeiUUuENPu,3
18,6JW8wliOEwaDZ231ZY7cf4,Sepultura,Ratamahatta,56,spotify:track:3Tg8JctqoeIwZ3Rue8BjaI,4
19,6JW8wliOEwaDZ231ZY7cf4,Sepultura,Arise,53,spotify:track:1erRDf98WX0VllciGPYO1H,5
20,3JysSUOyfVs1UQ0UaESheP,Anthrax,Got The Time,57,spotify:track:3cFnb3Rg9a7Gzqxc5QQ9YZ,1
21,3JysSUOyfVs1UQ0UaESheP,Anthrax,Madhouse,55,spotify:track:76BYv24CcZt2u94JRjmATX,2
22,3JysSUOyfVs1UQ0UaESheP,Anthrax,Bring The Noise,52,spotify:track:1p50Ir1Hm6Sa1urjaLGi7L,3
23,3JysSUOyfVs1UQ0UaESheP,Anthrax,Indians,49,spotify:track:1fcyfC1KLSWVCIvALR5AxS,4
24,3JysSUOyfVs1UQ0UaESheP,Anthrax,Caught In A Mosh,48,spotify:track:0c6p9QomOhNU9uzujLjtsD,5
25,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,Crazy Train,75,spotify:track:7ACxUo21jtTHzy7ZEV56vU,1
26,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,No More Tears,70,spotify:track:7w6PJe5KBPyvuRYxFkPssC,2
27,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,"Mama, I'm Coming Home",64,spotify:track:0S3gpZzlT9Hb7CCSV2owX7,3
28,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,I Don't Wanna Stop,64,spotify:track:5axOkQnmQmwtjr4bv1Xt7i,4
29,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,Bark at the Moon,62,spotify:track:2E7W1X4maFFcjHrVrFA7Vs,5
30,2ye2Wgw4gimLv2eAKyk1NB,Metallica,Enter Sandman,79,spotify:track:5sICkBXVmaCQk5aISGR3x1,1
31,2ye2Wgw4gimLv2eAKyk1NB,Metallica,Nothing Else Matters,78,spotify:track:0nLiqZ6A27jJri2VCalIUs,2
32,2ye2Wgw4gimLv2eAKyk1NB,Metallica,Master Of Puppets,75,spotify:track:2MuWTIM3b0YEAskbeeFE1i,3
33,2ye2Wgw4gimLv2eAKyk1NB,Metallica,For Whom The Bell Tolls - Remastered,69,spotify:track:3LpHzQU2CZzZJGdUWV79SI,4
34,2ye2Wgw4gimLv2eAKyk1NB,Metallica,One,72,spotify:track:5IX4TbIR5mMHGE4wiWwKW0,5
35,6mdiAmATAx73kdxrNrnlao,Iron Maiden,The Trooper - 2015 Remaster,71,spotify:track:4OROzZUy6gOWN4UGQVaZMF,1
36,6mdiAmATAx73kdxrNrnlao,Iron Maiden,Run to the Hills - 2015 Remaster,69,spotify:track:4Zc7TCHzuNwL0AFBlyLdyr,2
37,6mdiAmATAx73kdxrNrnlao,Iron Maiden,Fear of the Dark - 2015 Remaster,69,spotify:track:6p8eFfPw3nQkf37aT3AkmK,3
38,6mdiAmATAx73kdxrNrnlao,Iron Maiden,The Number of the Beast - 2015 Remaster,66,spotify:track:3nlGByvetDcS1uomAoiBmy,4
39,6mdiAmATAx73kdxrNrnlao,Iron Maiden,Hallowed Be Thy Name - 2015 Remaster,64,spotify:track:469rBLYJUZHMJLtq2Wch3h,5
40,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Stairway to Heaven - Remaster,76,spotify:track:5CQ30WqJwcep0pYcV4AMNc,1
41,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Immigrant Song - Remaster,75,spotify:track:78lgmZwycJ3nzsdgmPPGNx,2
42,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Whole Lotta Love - 1990 Remaster,72,spotify:track:0hCB0YR03f6AmQaHbwWDe8,3
43,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Black Dog - Remaster,69,spotify:track:3qT4bUD1MaWpGrTwcvguhb,4
44,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Going to California - Remaster,68,spotify:track:70gbuMqwNBE2Y5rkQJE9By,5
45,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Kickstart My Heart,76,spotify:track:4Yqy0GpeDEXLibWJCZyQew,1
46,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,"Girls, Girls, Girls",68,spotify:track:3439OLNIeD3y68kVuoZUO5,2
47,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Dr. Feelgood,66,spotify:track:5dnwXK73BDZ0H2L06ZrKcE,3
48,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Home Sweet Home,66,spotify:track:1kvq7ksGQWSyRysYYNd6lu,4
