original_artist_id,related_artist_id,related_artist_name
1IQ2e1buppatiN1bxUVkrk,28hJdGN1Awf7u3ifk2lVkg,Testament
1IQ2e1buppatiN1bxUVkrk,14pVkFUHDL207LzLHtSA18,Pantera
1IQ2e1buppatiN1bxUVkrk,1Yox196W7bzVNZI7RBaPnf,Megadeth
1IQ2e1buppatiN1bxUVkrk,6JW8wliOEwaDZ231ZY7cf4,Sepultura
1IQ2e1buppatiN1bxUVkrk,3JysSUOyfVs1UQ0UaESheP,Anthrax
5M52tdBnJaKSvOpJGz8mfZ,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne
5M52tdBnJaKSvOpJGz8mfZ,2ye2Wgw4gimLv2eAKyk1NB,Metallica
5M52tdBnJaKSvOpJGz8mfZ,6mdiAmATAx73kdxrNrnlao,Iron Maiden
5M52tdBnJaKSvOpJGz8mfZ,36QJpDe2go2KgaRleHCDTp,Led Zeppelin
5M52tdBnJaKSvOpJGz8mfZ,1DFr97A9HnbV3SKTJFu62M,Motörhead
2ye2Wgw4gimLv2eAKyk1NB,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne
2ye2Wgw4gimLv2eAKyk1NB,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath
2ye2Wgw4gimLv2eAKyk1NB,6mdiAmATAx73kdxrNrnlao,Iron Maiden
2ye2Wgw4gimLv2eAKyk1NB,5eAWCfyUhZtHHtBdNk56l1,System Of A Down
2ye2Wgw4gimLv2eAKyk1NB,14pVkFUHDL207LzLHtSA18,Pantera
6mdiAmATAx73kdxrNrnlao,2tRsMl4eGxwoNabM08Dm4I,Judas Priest
6mdiAmATAx73kdxrNrnlao,4CYeVo5iZbtYGBN4Isc3n6,Dio
6mdiAmATAx73kdxrNrnlao,1DFr97A9HnbV3SKTJFu62M,Motörhead
6mdiAmATAx73kdxrNrnlao,1Yox196W7bzVNZI7RBaPnf,Megadeth
6mdiAmATAx73kdxrNrnlao,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne
